State,State Full Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CA,California,1858.305556,1985.706061,1846.8,1809.666667,1995.616667,2254.683333,2412.216667,2629.925,2735.808333,2784.85
TX,Texas,1175.340909,1317.866667,1305.541667,1363.5,1448.491667,1546.575,1594.191667,1632.758333,1686.316667,1710.525
NY,New York,,2275,2460.833333,2610.416667,2549.25,2500.833333,2551.416667,2414.75,2387.569444,2328.166667
FL,Florida,1402.5,1772.742424,1745.941667,1734.666667,1769.008333,1810.066667,1886.225,1950.858333,2048.441667,2079.1
IL,Illinois,1754.522727,1780.166667,1677.444444,1690.944444,1736.625,1683.3125,1650.979167,1668.197917,1771.9375,1808.4375
PA,Pennsylvania,1162.230303,1229.714015,1267.927083,1262.375,1271.385417,1314.375,1324.458333,1477.891667,1475.791667,1536.05
OH,Ohio,796.1777778,727.1388889,713.8055556,716.4861111,924.983631,986.1041667,1016.197917,1020.916667,1057.802083,1063.96875
MI,Michigan,944.5090909,956.1145833,937.3333333,949.0104167,1061.416667,1133.989583,1174.229167,1171.427083,1204.03125,1193.0625
GA,Georgia,1176.181818,1311.489583,1236.583333,1196.75,1244.958333,1287.625,1345.225,1435.833333,1523.358333,1576.85
NC,North Carolina,1273.300505,1130.516667,1133.841667,1146.108333,1150.316667,1205.925,1295.241667,1381.533333,1457.366667,1510.625
NJ,New Jersey,1283.863636,1808.645833,1798.041667,1956.305556,1983.819444,1924.520833,1983.489583,2242.442424,2324.408333,2404.25
VA,Virginia,1631.629545,1573.025,1657.991667,1677.733333,1711.341667,1716.108333,1709.125,1785.833333,1841.65,1846.55
WA,Washington,1290.960227,1357.983333,1341.35,1406.191667,1510.741667,1645.991667,1768.808333,1998.858333,2070.191667,2077.325
MA,Massachusetts,1576.5,1998.441558,2474.830556,2642.608333,2755.766667,2816.458333,2893.483333,2994.083333,3092.866667,3268.875
IN,Indiana,794.5555556,705.4444444,707.7222222,829.0729167,878.7916667,909.59375,954.5520833,987.1354167,1049.260417,1091.25
AZ,Arizona,984.4791667,903.9791667,932.3645833,920.71875,925.7083333,1007.177083,1062.6875,1171.322917,1262.4375,1364.125
TN,Tennessee,979.6590909,1114.611111,1120.097222,1054.625,1042.791667,1093.930556,1216.43,1288.508333,1391.95,1417.1
MO,Missouri,887.9861111,774.3055556,930.4138258,850.9270833,848.25,875.3020833,969.5,986.8083333,1039.483333,1056.775
MD,Maryland,1235.147727,1466.813447,1522.979167,1551.572917,1633.260417,1638.427083,1856.308333,1956.458333,1966.666667,1984.8
WI,Wisconsin,,740,891.6666667,865.7916667,977.1770833,1008.989583,1014.104167,1088.78125,1101.020833,1136.25
MN,Minnesota,671.625,1273.766667,1318.916667,1379.191667,1409.416667,1470.175,1505.266667,1571.1,1649.616667,1689.775
CO,Colorado,1458.154762,1305.375,1348.983333,1394.175,1505.716667,1719.95,1801.633333,1889.575,1968.908333,2010.625
AL,Alabama,768.462963,758.8888889,883.34375,878.1145833,881.8541667,908.0208333,960.4791667,1164.758333,1203.975,1214.625
SC,South Carolina,1214.863636,1084.784091,1069.041667,1114.777778,1147.194444,1188.402778,1250.833333,1402.435606,1478.283333,1505.2
LA,Louisiana,905.1805556,927.2361111,1013.96875,1032.510417,1082.052083,1160.864583,1166.40625,1166.020833,1192.46875,1183.125
KY,Kentucky,1053.125,952.5128968,954.0104167,928.3333333,951.90625,986.9375,1017.302083,1051.739583,1095.645833,1123.46875
OR,Oregon,997.2222222,1119.097222,1175.555556,1220.138889,1327.958333,1481.888889,1526.169643,1636.833333,1663.416667,1665.8125
OK,Oklahoma,629,769.6041667,996.9583333,1047.597222,1066.444444,993.9270833,977.3229167,987.4083333,990.4416667,995.975
CT,Connecticut,1348.136364,1640.627778,1632.75,1575.025,1528.258333,1577.1,1596.266667,1620.633333,1661.725,1640.125
IA,Iowa,610.125,859.7916667,772.625,800.9583333,800.9722222,858.4305556,896.8194444,1028.658144,1041.291667,1044.0625
MS,Mississippi,,775.6647727,835.9791667,824.3125,755.2166667,769.7916667,935.4791667,1017.125,1133.260417,1102.5
AR,Arkansas,743.125,711.5,727.3948413,711.5138889,683.625,707.0833333,746.1805556,790.3055556,787.0277778,793.0833333
KS,Kansas,,900.625,941.9895833,938.4583333,941.5729167,972.6666667,1020.191667,1043.983333,1065.483333,1080.95
UT,Utah,,927.7471591,963.5,982.875,978.4270833,1033.03125,1210.608333,1320.916667,1418.041667,1456.425
NV,Nevada,1290.466667,1187.825,1132.383333,1138,1176.133333,1242.9,1302.583333,1395.75,1513.441667,1578.325
NM,New Mexico,,1122.627315,965.3875,961.3333333,941.8958333,966.28125,991.4583333,1018.729167,1070.833333,1096.21875
WV,West Virginia,1110.3125,1130.625,1109.375,928.0208333,920.5208333,841.7916667,835.9722222,919.1666667,926.15625,941.46875
NE,Nebraska,,765.8964646,798.0416667,963.4270833,1007.90625,1041.020833,1049.5,1093.291667,1133.056667,1156.55
ID,Idaho,,771.6534091,787.8854167,828.6979167,850.15625,879.4791667,928.5520833,1040.05,1163.066667,1220.9
HI,Hawaii,2277.416667,2034.805871,2023.177083,2323,2281.741667,2525.383333,2437.1,2439.941667,2398.333333,2453.05
ME,Maine,,853.75,1032.013889,1010.208333,996.4861111,1116.736111,1141.944444,1277.041667,1564.397727,1585
NH,New Hampshire,1190.651515,1075.444444,1103.666667,1160.166667,1171.930556,1201.805556,1250.611111,1482.28125,1546.052083,1601.21875
RI,Rhode Island,1292.5,1368.229167,1415.166667,1436.0625,1425.208333,1497.083333,1571.208333,1774.272727,1840.108333,1904.45
MT,Montana,,1058.833333,788.3425926,941.2118056,925.8125,983.1770833,1015,1064.010417,1103.510417,1111.40625
DE,Delaware,1279.166667,1297.138889,1272.569444,1207.5,1223.0625,1245.0625,1291.5625,1289.604167,1327.729167,1347.84375
SD,South Dakota,,658.3333333,699.75,800.8333333,735.0744949,831.7916667,878.9166667,998.0729167,1012.864583,1008.28125
AK,Alaska,,1399.767992,1386.333333,1451.65625,1455.072917,1506.375,1507.458333,1472,1517.033333,1474.125
ND,North Dakota,,,,,,1311.59375,1093,994.0464015,1025.59375,1045.96875
VT,Vermont,,,,,,,997.5,1951.527778,1859.861111,1818.75
DC,District of Columbia,2256.5,2465.75,2695.479167,2603.06746,2743.238095,2822.8125,2863.833333,3020.010417,3053.385417,3072.65625
WY,Wyoming,,,687.8571429,646.2708333,801.6666667,843.4027778,820.8194444,925.5577652,900.3125,907.28125
