State,State Full Name,Continental US,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,United States,Yes,35849,38114,39844,40904,39284,40546,42735,44599,44851,47060,48985,49883,51731,53712
AL,Alabama,Yes,29808,31306,32573,33377,32631,33845,34941,35806,36046,37217,38594,39260,40802,42334
AK,Alaska*,Yes,38817,40881,43676,47569,46858,49254,52048,53153,52239,55595,57340,55915,57180,59687
AZ,Arizona,Yes,32222,34667,35776,35543,33327,33555,34889,36064,36559,38175,39629,40456,42085,43650
AR,Arkansas,Yes,28096,29422,31062,31935,31152,31863,33781,36088,35961,37948,39030,39717,41063,42566
CA,California,Yes,39326,42139,43669,43895,42050,43617,46183,48826,49259,52340,55793,57625,60004,62586
CO,Colorado,Yes,37732,39997,41889,42492,39851,40547,43456,45572,47236,50662,52116,52269,54561,56846
CT,Connecticut,Yes,50110,54183,58122,61209,59994,62203,63839,65018,63771,66724,68575,69722,72110,74561
DE,Delaware,Yes,39243,40995,41681,40768,40697,40804,43862,44045,44279,45841,47813,48374,49925,51449
DC,District of Columbia,Yes,53383,56138,60058,61240,60455,63650,67735,68724,68216,71398,75448,77254,79792,81882
FL,Florida,Yes,35962,38414,39545,39240,36580,38513,40128,40976,40627,43227,45452,46208,47701,49417
GA,Georgia,Yes,33243,34609,35443,35113,34028,34527,36685,37146,37435,39615,41532,42657,44214,45745
HI,Hawaii*,Yes,36635,38766,40679,42160,41593,41864,43446,44759,44982,47283,49437,50872,52910,54565
ID,Idaho,Yes,29239,31322,32554,32646,31142,31923,33489,35170,36137,37767,39727,40438,41778,43155
IL,Illinois,Yes,37828,40278,42422,43306,41071,42090,44155,46047,47131,49504,51639,52509,54271,56933
IN,Indiana,Yes,31339,32973,33913,35152,34015,35356,37531,39197,39511,40887,42326,43593,45196,46646
IA,Iowa,Yes,32510,34348,36645,38576,37202,38139,40960,42906,43451,44749,46191,46350,47093,48823
KS,Kansas,Yes,32234,35408,37776,40738,39002,39424,42626,45004,45816,46680,47169,47438,48600,50155
KY,Kentucky,Yes,29053,30507,31599,32745,32160,33119,34574,35681,35836,37461,38943,39433,40600,41779
LA,Louisiana,Yes,29656,33410,35832,37872,36375,37513,38507,40429,40734,42566,42890,42654,43786,45542
ME,Maine,Yes,32735,34397,35614,36951,36917,37852,39345,40198,40142,41831,43642,44749,46485,48241
MD,Maryland,Yes,43693,45796,47465,49307,48609,49857,52266,53361,52871,54542,57009,58934,61123,62914
MA,Massachusetts,Yes,44609,48012,50254,51859,50962,53061,55273,57323,57394,59892,63505,65164,67596,70073
MI,Michigan,Yes,32755,33624,34704,35595,33938,35300,37462,38942,39272,41050,43408,44668,46136,47582
MN,Minnesota,Yes,37862,39531,41527,42934,40860,42478,45165,47676,47716,49948,51936,52750,54442,56374
MS,Mississippi,Yes,26764,27907,29406,30544,29938,30947,32179,33317,33839,34610,35097,35778,36567,37994
MO,Missouri,Yes,32274,33965,35360,37038,36158,36782,38213,40002,40155,41550,42845,43615,45014,46635
MT,Montana,Yes,29737,31828,33865,35250,34279,35891,38158,40292,40122,41811,43537,43951,45274,47120
NE,Nebraska,Yes,34462,35863,38442,40302,39279,40878,45353,46467,46468,48866,50465,49703,50875,52110
NV,Nevada,Yes,38373,39792,40159,38725,36334,37449,38774,39877,39576,41654,44247,44783,46557,48225
NH,New Hampshire,Yes,40755,43346,44878,45897,45283,47317,49585,51782,51354,52884,54950,56800,59360,61405
NJ,New Jersey,Yes,44723,48025,50802,52042,50176,51402,53684,55583,56027,58625,61144,62629,65387,67609
NM,New Mexico,Yes,28869,30427,31752,33355,32737,33548,35003,35728,35076,37194,38251,38793,39709,41198
NY,New York,Yes,41150,44335,47619,48259,47371,49194,51763,54432,55081,57279,59645,61520,65392,68667
NC,North Carolina,Yes,32287,34241,36072,37636,35746,35592,36689,38878,38102,40005,41850,42707,44233,45834
ND,North Dakota,Yes,31599,33005,36455,40620,39863,43643,48068,55435,53833,56101,53619,52716,52284,54306
OH,Ohio,Yes,32632,34240,35624,36724,35638,36663,39148,40690,41156,42792,44406,45127,46710,48242
OK,Oklahoma,Yes,31295,34337,35170,38557,35347,36527,39014,41438,43045,45477,44154,42047,44356,46128
OR,Oregon,Yes,32421,34862,35955,37015,35402,36046,37730,39513,39931,42375,45065,46352,48093,49908
PA,Pennsylvania,Yes,36296,38115,40314,41575,40398,41997,44146,45986,46348,48314,50261,51407,53363,55349
RI,Rhode Island,Yes,37046,39186,41049,41787,40760,42844,44548,46196,46229,48203,50187,50830,52943,54523
SC,South Carolina,Yes,29153,30882,32249,32951,31724,32455,34056,35517,35678,37545,39425,40325,41659,42736
SD,South Dakota,Yes,33598,35125,38579,40836,39255,41061,44489,45018,45105,46901,48658,48429,48616,50141
TN,Tennessee,Yes,31523,33040,34178,35020,34462,35838,37792,39435,39533,40972,42810,43961,45566,47179
TX,Texas,Yes,32799,35106,36583,39349,36740,38304,41255,43458,43805,46367,46654,46092,47332,49161
UT,Utah,Yes,29046,31454,33247,34009,31907,32193,34223,36176,36789,38548,40864,42203,43441,45340
VT,Vermont,Yes,34557,36830,38802,40645,39996,41201,43622,45209,45818,47676,49369,50625,52152,53598
VA,Virginia,Yes,40216,42505,44289,45501,44026,45413,47688,49452,48717,50557,52712,53345,55137,56952
WA,Washington,Yes,37592,40265,43125,44550,41851,42524,44555,47723,48240,51465,53696,55415,57743,60781
WV,West Virginia,Yes,26828,28546,29551,31328,31470,32392,34184,35143,34950,36053,36774,36912,38454,40578
WI,Wisconsin,Yes,34353,36297,37764,38914,38085,38994,41119,42956,43076,44780,46558,47426,48970,50756
WY,Wyoming,Yes,38071,43192,44905,48227,43488,46002,50115,53712,53102,56682,57225,55511,57384,60095
_,,,,,,,,,,,,,,,,
