State,State Full Name,Continental US,2011,2012,2013,2014,2015,2016,2017,2018
AK,Alaska,Yes,236,227,188,160,149,112,95,110
AL,Alabama,Yes,387,377,363,450,399,321,202,267
AR,Arkansas,Yes,268,205,326,220,385,159,130,150
AZ,Arizona,Yes,1018,1007,901,635,672,663,641,540
CA,California,Yes,6689,4512,4886,4457,4309,4012,3815,3622
CO,Colorado,Yes,1381,800,452,528,644,906,743,657
CT,Connecticut,Yes,396,285,267,221,241,173,177,177
DC,District of Columbia,Yes,490,466,435,375,366,322,250,246
DE,Delaware,Yes,53,64,86,89,74,103,85,67
FL,Florida,Yes,2276,2201,2328,2424,2372,1825,1821,1582
GA,Georgia,Yes,1025,1094,900,647,866,581,466,429
HI,Hawaii,Yes,210,230,234,247,275,264,237,240
IA,Iowa,Yes,255,205,220,177,175,154,153,177
ID,Idaho,Yes,169,184,162,135,174,202,159,146
IL,Illinois,Yes,765,813,882,913,769,713,575,574
IN,Indiana,Yes,638,547,666,687,726,614,569,491
KS,Kansas,Yes,342,329,384,356,276,138,177,167
KY,Kentucky,Yes,579,369,510,558,541,452,445,308
LA,Louisiana,Yes,443,450,383,332,350,363,329,362
MA,Massachusetts,Yes,1210,1126,1204,1234,1101,915,808,934
MD,Maryland,Yes,577,513,563,555,586,436,440,470
ME,Maine,Yes,121,116,150,138,142,125,120,106
MI,Michigan,Yes,755,835,945,994,991,758,713,646
MN,Minnesota,Yes,371,243,286,263,253,248,244,250
MO,Missouri,Yes,627,714,667,563,430,494,449,415
MS,Mississippi,Yes,114,71,129,221,87,58,39,37
MT,Montana,Yes,135,147,118,94,98,92,125,125
NC,North Carolina,Yes,941,1091,934,982,904,730,732,735
ND,North Dakota,Yes,121,144,60,117,90,63,58,9
NE,Nebraska,Yes,253,213,161,224,231,211,172,168
NH,New Hampshire,Yes,118,116,112,162,124,119,113,136
NJ,New Jersey,Yes,668,465,420,554,616,485,494,470
NM,New Mexico,Yes,221,202,183,258,214,150,135,177
NV,Nevada,Yes,692,691,477,546,516,437,492,530
NY,New York,Yes,5246,4370,4201,2085,2268,1156,1186,1184
OH,Ohio,Yes,1083,1034,1050,1102,1073,845,785,694
OK,Oklahoma,Yes,301,299,338,273,253,260,235,206
OR,Oregon,Yes,655,558,709,702,769,603,583,600
PA,Pennsylvania,Yes,1262,1321,1290,1336,1295,1088,875,910
RI,Rhode Island,Yes,121,96,95,108,105,89,92,100
SC,South Carolina,Yes,389,320,345,399,470,452,321,320
SD,South Dakota,Yes,99,114,106,128,170,109,123,89
TN,Tennessee,Yes,732,973,728,920,756,654,615,556
TX,Texas,Yes,2365,1884,2007,1576,1490,1285,1379,1142
UT,Utah,Yes,310,297,290,293,313,311,203,222
VA,Virginia,Yes,768,727,625,535,513,439,384,400
VT,Vermont,Yes,75,93,111,111,113,97,89,96
WA,Washington,Yes,1167,1097,1058,1089,886,999,1094,770
WI,Wisconsin,Yes,584,525,528,496,515,392,309,321
WV,West Virginia,Yes,236,219,292,303,227,126,124,106
WY,Wyoming,Yes,39,128,110,95,83,56,50,47
