State,State Full Name,2011,2012,2013,2014,2015,2016,2017,2018
AK,Alaska,288,256,210,178,180,168,124,132
AL,Alabama,659,526,511,542,474,373,269,339
AR,Arkansas,411,362,462,361,456,222,239,251
AZ,Arizona,1528,1478,1222,858,1220,1036,970,893
CA,California,16783,14611,12895,12096,11311,9612,11436,10836
CO,Colorado,2074,1512,685,753,950,1181,1078,1073
CT,Connecticut,443,332,341,295,282,216,191,190
DC,District of Columbia,515,531,499,406,408,350,285,306
DE,Delaware,55,66,89,93,79,107,91,70
FL,Florida,5644,5331,5505,4552,3926,2902,2817,2543
GA,Georgia,2243,2297,1805,1443,1548,1055,712,705
GU,Guam,33,31,32,36,23,21,24,14
HI,Hawaii,505,507,558,593,692,670,615,532
IA,Iowa,267,217,229,202,207,170,171,196
ID,Idaho,250,260,208,215,249,267,228,215
IL,Illinois,1081,1147,1267,1234,1226,949,864,804
IN,Indiana,714,687,743,725,790,663,615,539
KS,Kansas,384,373,414,393,311,169,217,195
KY,Kentucky,636,440,607,600,591,512,489,369
LA,Louisiana,950,899,575,437,392,400,383,406
MA,Massachusetts,1268,1181,1253,1264,1133,949,853,985
MD,Maryland,696,617,673,654,714,555,536,574
ME,Maine,127,116,164,152,151,146,131,119
MI,Michigan,959,1017,1100,1122,1067,822,773,693
MN,Minnesota,449,309,349,317,297,279,281,301
MO,Missouri,852,899,843,652,540,575,538,507
MP,Northern Mariana Islands,.,.,.,.,.,.,0,0
MS,Mississippi,205,244,210,279,206,144,57,102
MT,Montana,251,323,309,256,277,165,205,198
NC,North Carolina,1248,1413,1123,1164,1092,888,931,884
ND,North Dakota,124,160,241,151,137,116,74,9
NE,Nebraska,310,249,183,241,247,219,174,171
NH,New Hampshire,126,127,125,171,138,123,124,143
NJ,New Jersey,811,592,540,630,696,556,583,555
NM,New Mexico,364,345,243,318,278,214,248,290
NV,Nevada,1240,1229,790,1036,860,851,832,723
NY,New York,5765,4961,4659,2542,2399,1248,1244,1224
OH,Ohio,1279,1244,1212,1236,1183,930,862,749
OK,Oklahoma,356,404,437,408,351,358,349,313
OR,Oregon,1474,1356,1494,1292,1464,1341,1251,1363
PA,Pennsylvania,1392,1456,1462,1411,1375,1136,963,982
PR,Puerto Rico,137,116,82,87,164,146,94,82
RI,Rhode Island,123,96,97,108,107,89,95,103
SC,South Carolina,612,543,636,703,681,738,480,415
SD,South Dakota,109,124,125,132,177,120,130,110
TN,Tennessee,965,1285,991,1142,945,831,757,742
TX,Texas,4891,4364,3878,2718,2393,1768,2200,1935
UT,Utah,345,330,327,317,337,335,220,239
VA,Virginia,931,881,719,620,604,515,478,485
VI,Virgin Islands,32,33,33,32,34,32,23,24
VT,Vermont,81,109,128,120,119,110,94,104
WA,Washington,1478,1475,1318,1433,1293,1484,2093,1636
WI,Wisconsin,607,539,552,520,534,415,329,332
WV,West Virginia,302,268,329,333,305,143,137,131
WY,Wyoming,83,311,137,116,112,87,63,47
,TOTAL,65455,60579,55619,49689,47725,39471,40020,37878
