STATE,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,4712651.0,4747424.0,4777326.0,4799277.0,4817678.0,4830620.0,4841164.0,4850771.0
Alaska,691189.0,700703.0,711139.0,720316.0,728300.0,733375.0,736855.0,738565.0
Arizona,6246816.0,6337373.0,6410979.0,6479703.0,6561516.0,6641928.0,6728577.0,6809946.0
Arkansas,2872684.0,2895928.0,2916372.0,2933369.0,2947036.0,2958208.0,2968472.0,2977944.0
California,36637290.0,36969200.0,37325068.0,37659181.0,38066920.0,38421464.0,38654206.0,38982847.0
Colorado,4887061.0,4966061.0,5042853.0,5119329.0,5197580.0,5278906.0,5359295.0,5436519.0
Connecticut,3545837.0,3558172.0,3572213.0,3583561.0,3592053.0,3593222.0,3588570.0,3594478.0
Delaware,881278.0,890856.0,900131.0,908446.0,917060.0,926454.0,934695.0,943732.0
Florida,18511620.0,18688787.0,18885152.0,19091156.0,19361792.0,19645772.0,19934451.0,20278447.0
Georgia,9468815.0,9600612.0,9714569.0,9810417.0,9907756.0,10006693.0,10099320.0,10201635.0
Hawaii,1333591.0,1346554.0,1362730.0,1376298.0,1392704.0,1406299.0,1413673.0,1421658.0
Idaho,1526797.0,1549987.0,1567803.0,1583364.0,1599464.0,1616547.0,1635483.0,1657375.0
Illinois,12745359.0,12790182.0,12823860.0,12848554.0,12868747.0,12873761.0,12851684.0,12854526.0
Indiana,6417398.0,6454254.0,6485530.0,6514861.0,6542411.0,6568645.0,6589578.0,6614418.0
Iowa,3016267.0,3032266.0,3047646.0,3062553.0,3078116.0,3093526.0,3106589.0,3118102.0
Kansas,2809329.0,2830985.0,2851183.0,2868107.0,2882946.0,2892987.0,2898292.0,2903820.0
Kentucky,4285828.0,4316040.0,4340167.0,4361333.0,4383272.0,4397353.0,4411989.0,4424376.0
Louisiana,4429940.0,4484596.0,4529605.0,4567968.0,4601049.0,4625253.0,4645670.0,4663461.0
Maine,1327665.0,1328543.0,1329084.0,1328320.0,1328535.0,1329100.0,1329923.0,1330158.0
Maryland,5696423.0,5736545.0,5785496.0,5834299.0,5887776.0,5930538.0,5959902.0,5996079.0
Massachusetts,6477096.0,6512227.0,6560595.0,6605058.0,6657291.0,6705586.0,6742143.0,6789319.0
Michigan,9952687.0,9920621.0,9897264.0,9886095.0,9889024.0,9900571.0,9909600.0,9925568.0
Minnesota,5241914.0,5278190.0,5313081.0,5347740.0,5383661.0,5419171.0,5450868.0,5490726.0
Mississippi,2941991.0,2956700.0,2967620.0,2976872.0,2984345.0,2988081.0,2989192.0,2986220.0
Missouri,5922314.0,5955802.0,5982413.0,6007182.0,6028076.0,6045448.0,6059651.0,6075300.0
Montana,973739.0,982854.0,990785.0,998554.0,1006370.0,1014699.0,1023391.0,1029862.0
Nebraska,1799125.0,1813061.0,1827306.0,1841625.0,1855617.0,1869365.0,1881259.0,1893921.0
Nevada,2633331.0,2673396.0,2704204.0,2730066.0,2761584.0,2798636.0,2839172.0,2887725.0
New Hampshire,1313939.0,1315911.0,1317474.0,1319171.0,1321069.0,1324201.0,1327503.0,1331848.0
New Jersey,8721577.0,8753064.0,8793888.0,8832406.0,8874374.0,8904413.0,8915456.0,8960161.0
New Mexico,2013122.0,2037136.0,2055287.0,2069706.0,2080085.0,2084117.0,2082669.0,2084828.0
New York,19229752.0,19302448.0,19398125.0,19487053.0,19594330.0,19673174.0,19697457.0,19798228.0
North Carolina,9271178.0,9418736.0,9544249.0,9651380.0,9750405.0,9845333.0,9940828.0,10052564.0
North Dakota,659858.0,666783.0,676253.0,689781.0,704925.0,721640.0,736162.0,745475.0
Ohio,11512431.0,11525536.0,11533561.0,11549590.0,11560380.0,11575977.0,11586941.0,11609756.0
Oklahoma,3675339.0,3714520.0,3749005.0,3785742.0,3818851.0,3849733.0,3875589.0,3896251.0
Oregon,3761925.0,3801991.0,3836628.0,3868721.0,3900343.0,3939233.0,3982267.0,4025127.0
Pennsylvania,12612705.0,12660739.0,12699589.0,12731381.0,12758729.0,12779559.0,12783977.0,12790505.0
Puerto Rico,3762322.0,3742586.0,3716727.0,3682966.0,3638965.0,3583073.0,3529385.0,3468963.0
Rhode Island,1056389.0,1053959.0,1052471.0,1051695.0,1053252.0,1053661.0,1054491.0,1056138.0
South Carolina,4511428.0,4575864.0,4630351.0,4679602.0,4727273.0,4777576.0,4834605.0,4893444.0
South Dakota,799462.0,807697.0,815871.0,825198.0,834708.0,843190.0,851058.0,855444.0
Tennessee,6234968.0,6297991.0,6353226.0,6402387.0,6451365.0,6499615.0,6548009.0,6597381.0
Texas,24311891.0,24774187.0,25208897.0,25639373.0,26092033.0,26538614.0,26956435.0,27419612.0
Utah,2657236.0,2715379.0,2766233.0,2813673.0,2858111.0,2903379.0,2948427.0,2993941.0
Vermont,624258.0,624958.0,625498.0,625904.0,626358.0,626604.0,626249.0,624636.0
Virginia,7841754.0,7926192.0,8014955.0,8100653.0,8185131.0,8256630.0,8310301.0,8365952.0
Washington,6561297.0,6652845.0,6738714.0,6819579.0,6899123.0,6985464.0,7073146.0,7169967.0
"Washington, DC",584400.0,593955.0,605759.0,619371.0,633736.0,647484.0,659009.0,672391.0
West Virginia,1840802.0,1846372.0,1850481.0,1853619.0,1853881.0,1851420.0,1846092.0,1836843.0
Wisconsin,5637947.0,5664893.0,5687219.0,5706871.0,5724692.0,5742117.0,5754798.0,5763217.0
Wyoming,545579.0,554697.0,562803.0,570134.0,575251.0,579679.0,583029.0,583200.0
